variable,source_type,N_nonmissing,N_missing,minimum,maximum,unique_values,description_or_coding
medication_adherence,float64,232,0,4.0,12.0,9,"Questionnaire item, derived score, or QC/source variable"
diet_adherence,float64,232,0,4.0,12.0,9,"Questionnaire item, derived score, or QC/source variable"
exercise_adherence,float64,232,0,4.0,12.0,9,"Questionnaire item, derived score, or QC/source variable"
monitoring_adherence,float64,232,0,4.0,12.0,9,"Questionnaire item, derived score, or QC/source variable"
followup_adherence,float64,232,0,4.0,12.0,9,"Questionnaire item, derived score, or QC/source variable"
adherence_total,float64,232,0,21.0,59.0,34,"Treatment adherence total score, range 20-60"
adherence_good_ge40,float64,232,0,0.0,1.0,2,"Binary sensitivity outcome: 1=adherence_total>=40, 0=<40"
listed_complication_count,float64,232,0,0.0,5.0,6,"Questionnaire item, derived score, or QC/source variable"
any_complication,float64,232,0,0.0,1.0,2,"Any listed diabetes complication: 0=No, 1=Yes"
complication_count_discordant,float64,232,0,0.0,1.0,2,"Questionnaire item, derived score, or QC/source variable"
qc_high_similarity_pair,float64,232,0,0.0,0.0,1,"Questionnaire item, derived score, or QC/source variable"
