"instrument","model","estimator","converged","chisq_scaled","df_scaled","chisq_df_scaled","pvalue_scaled","cfi_scaled","tli_scaled","rmsea_scaled","rmsea_ci_lower_scaled","rmsea_ci_upper_scaled","srmr"
"Behavioral economics questionnaire","Six-factor model","WLSMV",TRUE,211.471638229868,104,2.03338113682566,0.00000000253089527113559,0.98503701185558,0.980433015503451,0.0668843136679272,0.0538883387007627,0.0797924034843538,0.0435918007673656
"Treatment adherence questionnaire","Five-factor model","WLSMV",TRUE,286.572330024134,160,1.79107706265084,0.00000000316569692682123,0.974239677559057,0.969409617101381,0.0585198772110084,0.0474371193677323,0.0693629479522983,0.0691717067019217
"Treatment adherence questionnaire","One-factor model","WLSMV",TRUE,802.407978961747,170,4.7200469350691,0,0.871290720103096,0.856148451879931,0.126901927826229,0.118134077433392,0.135811154748707,0.122358311201725
