"term","variable","trend_B","trend_SE","trend_standardized_beta","trend_CI_lower","trend_CI_upper","trend_p_value","full_category_B","full_category_SE","full_category_standardized_beta","full_category_CI_lower","full_category_CI_upper","full_category_p_value","B_difference_full_category_minus_trend","standardized_beta_difference_full_category_minus_trend","trend_p_display","full_category_p_display"
"representativeness_mean","Representativeness bias",-0.742098658816525,0.401704353991791,-0.0843681664862149,-1.53401037189017,0.0498130542571158,0.0661061649661241,-0.785726239096521,0.404931431555085,-0.0893281255330663,-1.58418481857947,0.0127323403864249,0.0537308003607023,-0.0436275802799956,-0.00495995904685148,"0.066","0.054"
"availability_mean","Availability bias",-0.9849591551687,0.442589813732072,-0.112020281750766,-1.85747162385026,-0.112446686487141,0.0271199008786172,-0.884617459604909,0.446884755196243,-0.100608331367422,-1.76580113422424,-0.00343378498557745,0.0491223185100511,0.100341695563791,0.0114119503833439,"0.027","0.049"
"overconfidence_mean","Overconfidence",-1.07110071278726,0.406375588941618,-0.131444849466739,-1.87222120250106,-0.269980223073472,0.00902496582815136,-1.10064165218313,0.408474073847653,-0.135070096173831,-1.90608574306902,-0.295197561297237,0.00764536786186632,-0.0295409393958643,-0.00362524670709155,"0.009","0.008"
"time_preference_mean","Time preference",-2.39529482091565,0.426074400780603,-0.349230453633471,-3.2352491437057,-1.55534049812559,0.0000000600492365311751,-2.23764999399392,0.43908141746487,-0.326246070275685,-3.1034467623998,-1.37185322558804,0.000000796949612328979,0.157644826921723,0.0229843833577854,"<0.001","<0.001"
"social_preference_mean","Social preference",1.69004889369385,0.432129573339872,0.177857864512669,0.838157528084329,2.54194025930338,0.000124263522834697,1.84649485668131,0.435895531399844,0.194321970960951,0.986980134724891,2.70600957863773,0.0000346176202785271,0.156445962987456,0.0164641064482821,"<0.001","<0.001"
"risk_preference_mean","Risk preference",-0.0823212929351006,0.195150023163998,-0.0146792795967171,-0.467036040521133,0.302393454650932,0.673578343249034,0.0062470731088211,0.197534814958977,0.00111395885020675,-0.383259286387294,0.395753432604936,0.974802347259064,0.0885683660439217,0.0157932384469238,"0.674","0.975"
