"variable","adherence_total","representativeness_mean","availability_mean","overconfidence_mean","time_preference_mean","social_preference_mean","risk_preference_mean"
"adherence_total",1,-0.532328646469509,-0.608310011117075,-0.625881820991151,-0.80047066420446,0.666469751020608,-0.246326040453788
"representativeness_mean",-0.532328646469509,1,0.624167695669935,0.415277964319534,0.500912242873747,-0.438069299629675,0.136245706260416
"availability_mean",-0.608310011117075,0.624167695669935,1,0.502018659635668,0.574880822980128,-0.435441687068612,0.234084498573643
"overconfidence_mean",-0.625881820991151,0.415277964319534,0.502018659635668,1,0.680687350452579,-0.461059912753234,0.205517702735189
"time_preference_mean",-0.80047066420446,0.500912242873747,0.574880822980128,0.680687350452579,1,-0.659156332745767,0.232982752616475
"social_preference_mean",0.666469751020608,-0.438069299629675,-0.435441687068612,-0.461059912753234,-0.659156332745767,1,-0.188766059795291
"risk_preference_mean",-0.246326040453788,0.136245706260416,0.234084498573643,0.205517702735189,0.232982752616475,-0.188766059795291,1
